currentCompany,currentDesignation,skills,applicantId,functionalArea,totalWorkExp,profile_text,preprocessed_profile_text,top_job_matches
TCS,Security Analyst,"{""Information Security""}",AIMN2998,Information Security,48.0,"TCS Security Analyst {, "", I, n, f, o, r, m, a, t, i, o, n,  , S, e, c, u, r, i, t, y, "", } 48.0 years of experience",tc security analyst n f r n e c u r year experience,[255  56 240]
Coforge Pvt Ltd,Sr Software Developer,"{Java,JavaScript,Hibernate,Springboot}",AISY2729,Development,38.0,"Coforge Pvt Ltd Sr Software Developer {, J, a, v, a, ,, J, a, v, a, S, c, r, i, p, t, ,, H, i, b, e, r, n, a, t, e, ,, S, p, r, i, n, g, b, o, o, t, } 38.0 years of experience",coforge pvt ltd sr software developer j v j v c r p h b e r n e p r n g b year experience,[164 246 286]
C EDGE Technologies Limited,Assistant System Analyst,"{Java,JavaScript,Hibernate,Springboot}",AIAP2500,Development,49.0,"C EDGE Technologies Limited Assistant System Analyst {, J, a, v, a, ,, J, a, v, a, S, c, r, i, p, t, ,, H, i, b, e, r, n, a, t, e, ,, S, p, r, i, n, g, b, o, o, t, } 49.0 years of experience",c edge technology limited assistant system analyst j v j v c r p h b e r n e p r n g b year experience,[123 255 256]
AIRBUS,SENIOR TALENT ACQUISITION,"{Recruiting,""Full Cycle Recruiting""}",AISS4485,HR,84.0,"AIRBUS SENIOR TALENT ACQUISITION {, R, e, c, r, u, i, t, i, n, g, ,, "", F, u, l, l,  , C, y, c, l, e,  , R, e, c, r, u, i, t, i, n, g, "", } 84.0 years of experience",airbus senior talent acquisition r e c r u n g f u l l c c l e r e c r u n g year experience,[ 38 248 300]
Alchemy Software Solutions,Sr  IT Recruiter,"{Recruiting,""Full Cycle Recruiting""}",AISB6032,HR,56.0,"Alchemy Software Solutions Sr  IT Recruiter {, R, e, c, r, u, i, t, i, n, g, ,, "", F, u, l, l,  , C, y, c, l, e,  , R, e, c, r, u, i, t, i, n, g, "", } 56.0 years of experience",alchemy software solution sr recruiter r e c r u n g f u l l c c l e r e c r u n g year experience,[291 164 101]
Infotree Global Solution,Java Developer,"{Java,JavaScript,Hibernate,Springboot}",AISK8145,Development,46.0,"Infotree Global Solution Java Developer {, J, a, v, a, ,, J, a, v, a, S, c, r, i, p, t, ,, H, i, b, e, r, n, a, t, e, ,, S, p, r, i, n, g, b, o, o, t, } 46.0 years of experience",infotree global solution java developer j v j v c r p h b e r n e p r n g b year experience,[246 128 306]
LTIMindtree,Azure DevOps Engineer,"{""Azure Devops""}",AISA9946,Development,26.0,"LTIMindtree Azure DevOps Engineer {, "", A, z, u, r, e,  , D, e, v, o, p, s, "", } 26.0 years of experience",ltimindtree azure devops engineer z u r e e v p year experience,[120   3  19]
TestingXperts Pvt Ltd,Software Engineer,"{Java,JavaScript,Hibernate,Springboot}",AIRV8909,Development,38.0,"TestingXperts Pvt Ltd Software Engineer {, J, a, v, a, ,, J, a, v, a, S, c, r, i, p, t, ,, H, i, b, e, r, n, a, t, e, ,, S, p, r, i, n, g, b, o, o, t, } 38.0 years of experience",testingxperts pvt ltd software engineer j v j v c r p h b e r n e p r n g b year experience,[120 262 246]
Tata Consultancy Services,DevOps Engineer,"{""Azure Devops""}",AISN2058,Development,27.0,"Tata Consultancy Services DevOps Engineer {, "", A, z, u, r, e,  , D, e, v, o, p, s, "", } 27.0 years of experience",tata consultancy service devops engineer z u r e e v p year experience,[120 262  58]
Zemoso Technologies Pvt Ltd,DevOps Engineer,"{Devops,AWS,Azure}",AIVS1326,Development,68.0,"Zemoso Technologies Pvt Ltd DevOps Engineer {, D, e, v, o, p, s, ,, A, W, S, ,, A, z, u, r, e, } 68.0 years of experience",zemoso technology pvt ltd devops engineer e v p w z u r e year experience,[120 262 198]
HCL,Microsoft Azure DevOps Engineer,"{""Azure Devops""}",AIVV3855,Development,37.0,"HCL Microsoft Azure DevOps Engineer {, "", A, z, u, r, e,  , D, e, v, o, p, s, "", } 37.0 years of experience",hcl microsoft azure devops engineer z u r e e v p year experience,[120   3  19]
